MAINID,Address,AltName,CitesPerCost,Cost,CostText,Country,Exclusive,FullTextURL,ISSN,JournalEmail,JournalURL,Name,Phone,SubmissionEmail,SubmissionNote,SubmissionURL,Type,eISSN,eType
153,"<p>Attn: Articles Editor<br />Washburn Law Journal<br />Washburn University School of Law<br />1700 College<br />Topeka, KS 66621</p>",,0.48,30.0,,US,false,,0043-0420,journal@washburnlaw.edu,https://www.washburnlaw.edu/publications/wlj/,Washburn Law Journal,785-670-1683; Fax: 785-670-1024,journalarticles@washburnlaw.edu.,<p>Accepts e-mail submissions.</p>,http://washburnlaw.edu/wlj/,G,1942-8383,E
154,"<p>West Virginia Law Review<br />Attn: Executive Articles Editor<br />P.O. Box 6130<br />Morgantown, WV 26506-6130</p>",,0.65,30.0,,US,false,https://researchrepository.wvu.edu/wvlr/,0043-3268,wvulawreview@gmail.com,https://wvlawreview.wvu.edu/,West Virginia Law Review,,wvulawreview@gmail.com,<p>Accepts e-mail submissions.</p>,https://wvlawreview.wvu.edu/submissions,G,,E
155,"<p>Articles Editors, Willamette Law Review<br />Willamette University College of Law<br />245 Winter Street SE<br />Salem, OR, 97301</p>",,0.12,35.0,,US,false,,0191-9822,,https://willamette.edu/law/resources/journals/review/index.html,Willamette Law Review,,,<p>Accepts e-mail submissions.</p>,https://willamette.edu/law/resources/journals/review/submissions.html,G,,E
156,"<p>Mitchell Hamline Law Review<br />875 Summit Avenue<br />St. Paul, Minnesota 55105</p>",,0.45,40.0,,US,false,https://open.mitchellhamline.edu/mhlr/,0270-272X,eic.lawreview@mitchellhamline.edu,https://mitchellhamline.edu/law-review/,Mitchell Hamline Law Review,,submissions.lawreview@mitchellhamline.edu,"<p>Accepts electronic submissions via e-mail, ExpressO or LexOpus.</p>",https://mitchellhamline.edu/law-review/submissions/,G,,E
157,"<p>Editor-in-Chief<br />Southern Illinois University Law Journal<br />251 Lesar Law Building<br />Southern Illinois University School of Law<br />Carbondale, IL 62901</p>",,0.3,30.0,,US,false,https://opensiuc.lib.siu.edu/siulj/,0145-3432,lawjourn@siu.edu,https://law.siu.edu/academics/law-journal/,Southern Illinois University Law Journal," (618)453-8721 (office); (618)453-8719 (Vicki Genovese, admin. contact)",lawjourn@siu.edu,"<p>Accepts e-mail or paper copy submissions. Electronic submissions by either e-mail or <a href=""http://law.bepress.com/expresso/"">ExpressO</a> preferred.</p>",,G,,E
158,"<p>Editor-in-Chief<br />Cardozo Law Review Editorial Office<br />Benjamin N. Cardozo School of Law<br />55 Fifth Avenue<br />New York, NY 10003-4391</p>",,1.8,50.0,,US,false,http://www.cardozo.yu.edu/MemberContentDisplay.aspx?ccmd=ContentDisplay&ucmd=UserDisplay&userid=10434&contentid=976,0270-5192,,http://www.cardozolawreview.com/,Cardozo Law Review,,"rebecca.yin.clr@gmail.com, ruth.ramjit.clr@gmail.com",<p>Accepts e-mail submissions.</p>,http://cardozolawreview.com/submissions/,G,,E
159,"<p>University of Hawaii Law Review<br />University of Hawaii, School of Law<br />2515 Dole Street<br />Honolulu, Hawaii 96822</p>",University of Hawai'i Law Review,0.21,30.0,,US,false,,0271-9835,lawrev@hawaii.edu,http://hawaiilawreview.com/,University of Hawaii Law Review,,lawrev@hawaii.edu,"<p>Accepts e-mail submissions. Also accepts paper copy submissions or submissions via <a href=""http://law.bepress.com/expresso/"">ExpressO</a>. We accept all types of submissions, without any specific limits. However, we generally look for articles related to the Asia-Pacific region and Hawai`I legal matters.</p>",http://hawaiilawreview.com/article-submissions/,G,,E
160,"Editor-in-Chief<br>The University of Chicago Legal Forum<br>The University of Chicago Law School<br>1111 East 60th Street<br>Chicago, IL 60637",,0.87,25.0,,US,false,,0892-5593,legalforum@uchicago.edu,http://legal-forum.uchicago.edu/,University of Chicago Legal Forum,,,"Symposium format, no unsolicited manuscripts accepted.",,S,,
161,"<p>Submissions Editor<br />Berkeley Technology Law Journal<br />University of California, Berkeley<br />Boalt Hall School of Law<br />587 Simon Hall<br />Berkeley, CA 94720</p>",High Technology Law Journal ( -1995),0.37,85.0,,US,false,,1086-3818,btlj-submissions@law.berkeley.edu,http://www.btlj.org/,Berkeley Technology Law Journal,,btlj@law.berkeley.edu,<p>Electronic submissions are strongly encouraged.</p>,http://www.btlj.org/submissions/,S,,C
162,"<p>Professor Bert B. Lockwood<br />Human Rights Quarterly<br />Urban Morgan Institute for Human Rights<br />College of Law<br />University of Cincinnati<br />Cincinnati, OH 45221-0040</p>",,-1.0,190.0,,US,false,,0275-0392,,https://www.press.jhu.edu/journals/human-rights-quarterly,Human Rights Quarterly,(513) 556-0068; Fax: (513) 556-2391,nancy.ent@uc.edu,"<p>Accepts e-mail submissions. Papers should average between 5,000 and 10,000 words in length. A refereed and student edited journal. Published by Johns Hopkins University Press.</p>",https://www.press.jhu.edu/journals/human-rights-quarterly/author-guidelines,S,,E
163,"<p>Managing Editor<br />Jurimetrics<br />Sandra Day O'Connor College of Law<br />Arizona State University<br />Box 877906<br />Tempe, AZ 85287-7906</p>","Jurimetrics: the Journal of Law, Science, and Technology; Jurimetrics Journal",0.47,45.0,,US,false,,0897-1277,,https://www.americanbar.org/groups/science_technology/publications/jurimetrics/,Jurimetrics,(480) 727-6523,jurimetrics@asu.edu,"<p>Accepts e-mail submissions. A refereed journal. Footnotes rather than endnotes should be used. Authors should include an e-mail address, a telephone number and mailing address, and if available, a fax number.</p>",http://www.law.asu.edu/jurimetrics/JurimetricsJournal/Submissions.aspx,S,2154-4344,E
164,"<p>Managing Article Editor<br />University of Michigan Journal of Law Reform<br />University of Michigan Law School<br />625 S. State Street<br />Ann Arbor, MI 48109-1215</p>",,0.72,35.0,,US,false,https://repository.law.umich.edu/mjlr/,0033-1546,mjlr@umich.edu,https://mjlr.org/,University of Michigan Journal of Law Reform,734-763-2195; Fax: 734-764-6043,mjlr@umich.edu,<p>Strongly prefers electronic submissions via Scholastica. Also accepts e-mails submissions.</p>,https://mjlr.org/submissions/,S,,E
165,"<p>Golden Gate University Law Review<br />536 Mission Street<br />San Francisco, CA 94105<br />ATTN: Outside Articles Editor</p>",,-1.0,35.0,,US,false,https://digitalcommons.law.ggu.edu/ggulrev/,0363-0307,lawreview@ggu.edu,https://ggulawreview.com/,Golden Gate University Law Review,415-442-6690,lawreview@ggu.edu,"<p>Accepts electronic submissions via <a href=""http://law.bepress.com/expresso"">ExpressO</a> or email.</p>",https://ggulawreview.com/submissions/,G,,E
166,"<p>Loyola Law Review<br />Attention: Articles Editors<br />Loyola University New Orleans School of Law<br />7214 St. Charles Avenue<br />Campus Box 901<br />New Orleans, LA 70118</p>",,0.66,30.0,,US,false,,0192-9720,lawreview@loyno.edu,http://www.loyno-lawreview.com/,Loyola Law Review,,lawreview@loyno.edu,<p>Accepts electronic submissions via e-mail</p>,http://www.loyno-lawreview.com/submissions/,G,,U
167,"<p>Loyola of Los Angeles Law Review<br /><br />919 South Albany Street<br />Los Angeles, CA 90015-1211</p>",,0.51,40.0,,US,false,,0147-9857,LLR@lls.edu,https://digitalcommons.lmu.edu/llr/,Loyola of Los Angeles Law Review,,Articles.LLR@gmail.com,"<p>Strongly prefers electronic submissions via e-mail or <a href=""http://law.bepress.com/expresso/"">ExpressO</a>.</p>",https://digitalcommons.lmu.edu/llr/submit.html,G,,E
168,"<p>Executive Editor, Lead Articles<br />Loyola University Chicago Law Journal<br />25 East Pearson, Suite 1307<br />Chicago, IL 60611</p>",,0.95,25.0,,US,false,,0024-7081,law-journal@luc.edu,http://blogs.luc.edu/lawjournal/,Loyola University Chicago Law Journal,(312) 915-7183; Fax: (312) 915-7201,law-journal@luc.edu,<p>Accepts electronic submissions via e-mail.</p>,http://blogs.luc.edu/lawjournal/submission/,G,,E
169,"<p>Articles Editor<br />Maine Law Review<br />University of Maine, School of Law<br />246 Deering Avenue<br />Portland, ME 04102</p>",,0.31,35.0,,US,false,,0025-0651,mlreditor@maine.edu,http://www.mainelawreview.org/,Maine Law Review,,mlreditor@maine.edu,"<p>Accepts electronic submissions via <a href=""http://law.bepress.com/expresso"">ExpressO</a> amd via e-mail.</p>",http://mainelaw.maine.edu/academics/maine-law-review/submit.html,G,,E
170,"<p>Editor-in-Chief<br />Montana Law Review<br />School of Law<br />University of Montana<br />Missoula, MT 59812</p>",,0.27,40.0,,US,false,,0026-9972,montanalawrev@umontana.edu,https://scholarship.law.umt.edu/mlr/,Montana Law Review,,montanalawrev@umontana.edu,"<p>Accepts e-mail or paper copy submissions. Uses ALWD citation format, but accepts submissions in Bluebook format as well.</p>",http://www.umt.edu/mlr/Submissions.htm,G,,E
171,"<p>Editor-in-Chief<br />New Mexico Law Review<br />School of Law<br />MSC11 6070<br />1 University of New Mexico<br />Albuquerque, NM 87131-0001</p>",,0.39,40.0,,US,false,https://digitalrepository.unm.edu/nmlr/,0028-6214,NMLRboard@law.unm.edu,https://nmlr.unm.edu/,New Mexico Law Review,505-277-4910; Fax: 505-277-8342,NMLRboard@law.unm.edu,<p>Accepts e-mail submissions.</p>,https://nmlr.unm.edu/article-submission.html,G,,E
172,"<p>Northern Kentucky Law Review<br />Northern Kentucky University<br />Salmon P. Chase College of Law<br />Nunn Hall - Room 402<br />Highland Heights, Kentucky 41099</p>",,-1.0,35.0,,US,false,,0198-8549,nkylawreview@nku.edu,https://chaselaw.nku.edu/current-students/student-life/lawreview.html,Northern Kentucky Law Review,859-572-5444,submissions.nkylawreview@nku.edu,"<p>Accepts e-mail submissions, hard copy submissions, and submissions through SSRN and ExpressO</p>",http://chaselaw.nku.edu/law_review/submissions.php,G,,E
173,"<p>Lead Articles Editor<br />Nova Law Review<br />Shepard Broad Law Center<br />3305 College Avenue<br />Fort Lauderdale, FL 33314</p>",,0.16,25.0,,US,false,,1049-0248,lawreview@nsu.law.nova.edu,https://nsuworks.nova.edu/nlr/,Nova Law Review,(954) 262-6195,lawreview@nsu.law.nova.edu,<p>Accepts e-mail submissions.</p>,https://nsuworks.nova.edu/nlr/policies.html,G,,E
174,,,-1.0,27.0,,US,true,,0277-318X,lawreview.rutgers@gmail.com,http://www.rutgerslawreview.com/,Rutgers University Law Review (formerly Rutgers Law Journal),,lrevarticles@gmail.com,<p>Accepts electronic submissions via email. Also accepts hard copy submissions.</p>,http://www.rutgerslawreview.com/about/submissions/,G,,E
175,"<p>Articles Solicitation Editor<br />The St. Thomas Law Review<br />St. Thomas University, School of Law<br />16401 N.W. 37th Avenue<br />Miami Gardens, FL 33054</p>",,-1.0,27.5,,US,false,,1065-318X,lawreview@stu.edu,https://www.stthomaslawreview.org/,St. Thomas Law Review,305-623-2380/; Fax: 305-474-2410,DGabuardi@stu.edu,"<p>Prefers submissions via e-mail. Submissions may also be sent via <a href=""http://law.bepress.com/expresso/"">ExpressO</a></p>",https://www.stthomaslawreview.org/submissions/,G,,E
176,"<p>Submissions Manager<br />Seton Hall Law Review<br />Seton Hall University School of Law<br />One Newark Center<br />Newark, NJ 07102</p>",,1.21,35.0,,US,false,,0586-5964,lawreview@shu.edu,https://scholarship.shu.edu/shlr/,Seton Hall Law Review,(973) 642-8789,,"<p>The law review prefers submission via <a href=""http://law.bepress.com/expresso/"">Expresso</a>.</p>",https://scholarship.shu.edu/shlr/submission.html,G,,
177,"<p>Editor-in-Chief<br />South Texas Law Review<br />1303 San Jacinto<br />Houston, TX 77002</p>",,0.1,32.5,,US,false,,1052-343X,lawrevec@stcl.edu,https://www.stcl.edu/academics/law-reviews-journals/south-texas-law-review/,South Texas Law Review,713-646-1749,STLawRevSubmissions@gmail.com,"<p>Requires paper copy submission or upload to <a href=""http://law.bepress.com/expresso/"">ExpressO</a></p>",https://www.stcl.edu/academics/law-reviews-journals/south-texas-law-review/article-submissions/,G,,
178,"Lead Articles Editor<br>Texas Tech Law Review<br>Texas Tech University School of Law<br>1802 Hartford<br>Lubbock, TX 79409-0004",,0.62,35.0,$35 (+ $2.79 tax if in the State of Texas),US,false,,0564-6197,,http://www.texastechlawreview.org/,Texas Tech Law Review,(806) 742-3990 ext. 291; Fax: (806) 742-4666,texastechlawreview@yahoo.com,Accepts e-mail submissions,http://www.texastechlawreview.org/SendArticles.aspx,G,,E
179,"<p>Articles Editor<br />Thomas M. Cooley Law Review,<br />P.O. Box 13038,<br />Lansing, Michigan, 48901</p>",Cooley Law Review ( -v7(1990)),-1.0,30.0,,US,false,,1060-1007,,https://www.cooley.edu/lawreview,Thomas M. Cooley Law Review,,lawreview@cooley.edu,<p>Accepts e-mail submissions. The Law Review does not accept student written papers from other law schools. May also send submissions or inquiries to beachnad@cooley.edu</p>,https://www.cooley.edu/lawreview/submissions,G,,E
180,"<p>Editor-in-Chief<br />Tulsa Law Review<br />The University of Tulsa College of Law<br />3120 East Fourth Place<br />Tulsa, Oklahoma 74104</p>",Tulsa Law Journal ( - v36(2001)),0.34,30.0,,US,false,,1538-9979,tlr@utulsa.edu,https://digitalcommons.law.utulsa.edu/tlr/,Tulsa Law Review,,tlr@utulsa.edu,<p>Accepts e-mail submissions.</p>,http://www.utulsa.edu/law/tlr/manuscript.htm,G,,E
181,"<p>Articles Editor<br />University of Arkansas at Little Rock Law Review<br />1201 McMath Ave.,<br />Little Rock, Arkansas 72201-5142</p>",University of Arkansas at Little Rock Law Journal ( -1998),-1.0,22.5,,US,false,,1527-5787,lawreview@ualr.edu,https://ualr.edu/lawreview/,University of Arkansas at Little Rock Law Review,,lawreview@ualr.edu,<p>Accepts e-mail submissions.</p>,https://ualr.edu/lawreview/home/submission-guidelines/,G,,E
182,"<p>The University of Memphis Law Review<br />Cecil C. Humphreys School of Law<br />1 North Front Street<br />Memphis, TN 38103</p>",,0.27,35.0,,US,false,,1080-8582,,https://www.memphis.edu/law/programs/lawreview.php,University of Memphis Law Review,(901) 678-4979; Fax: (901) 678-5208,lawreview_articleseditor@memphis.edu,<p>Accepts electronic submissions via ExpressO or email.</p>,https://www.memphis.edu/law/programs/law-review-submissions.php,G,,E
183,"<p>Articles Editor<br />Western New England Law Review<br />Western New England College School of Law<br />1215 Wilbraham Road<br />Springfield, MA 01119</p>",,-1.0,25.0,,US,false,,0190-6593,,https://www1.wne.edu/law/law-review/index.cfm,Western New England Law Review,413-782-1463,wnecarticleseditor@gmail.com,"<p>Accepts e-mail submissions. Prefers submissions via <a href=""http://law.bepress.com/expresso/"">ExpressO</a>.</p>",https://www1.wne.edu/law/law-review/submissions.cfm,G,,E
184,"<p>Western State University Law Review,<br />Western State University College of Law,<br />1111 N. State College Blvd.,<br />Fullerton, CA 92831</p>",Western State University Law Review (1975-2014),-1.0,30.0,,US,false,,0362-8892,,https://www.wsulaw.edu/academics/law-review/,Western State Law Review,(714) 871-1820,,<p>Specializes in legal issues affecting California</p>,,G,,
185,"<p>Solicitations Editor<br />Whittier Law Review<br />3333 Harbor Boulevard<br />Costa Mesa, CA 92626</p>",,-1.0,40.0,,US,false,,0195-7643,,http://www.law.whittier.edu/cstudents/cmpr/whittier-law-review.html,Whittier Law Review,,wlrsubmissions@law.whittier.edu,<p>Accepts e-mail submissions.</p>,http://www.law.whittier.edu/cstudents/cmpr/whittier-law-review.html,G,,E
186,"<p>Editor-in-Chief<br />UMKC Law Review<br />University of Missouri - Kansas City<br />5100 Rockhill Road<br />Kansas City, MO 64110</p>",,0.7,35.0,,US,false,,0047-7575,umkclawreview@umkc.edu,https://umkclawreview.org/,UMKC Law Review,,umkcarticles@gmail.com,<p>Accepts e-mail submissions.</p>,https://umkclawreview.org/submissions/,G,,E
187,"<p>Michigan State Law Review<br />210 Law College Building<br />East Lansing, Michigan 48824-1300</p>",Michigan State DCL Law Review (2003 No.2-2003 No.3)<br>Law Review of Michigan State University-Detroit College of Law (1999-2003 No.1)<br>Detroit College of Law at Michigan State University Law Review (1995-1998 )<br>Detroit College of Law Review ( -1995),0.84,32.0,,US,false,,1087-5468,,https://www.michiganstatelawreview.org/,Michigan State Law Review, (517) 432-6930; Fax: (517) 432-6961,michstlr@msu.edu,"<p>Accepts electronic submissions via <a href=""http://law.bepress.com/expresso/"">ExpressO</a> or e-email.</p>",http://www.msulawreview.org/submissions/,G,,E
188,"<p>Alaska Law Review<br />Duke University School of Law<br />Science Drive and Towerview Road<br />P.O. Box 90364<br />Durham, North Carolina 27708</p>",,0.07,30.0,,US,false,,0883-0568,alr@law.duke.edu,https://alr.law.duke.edu/,Alaska Law Review,(919) 613-7105,alr@law.duke.edu,<p>Primary form of submission should be via e-mail.</p>,https://alr.law.duke.edu/current-issue/submissions/,S,,E
189,"<p>Executive Lead Articles Editor,<br />California Western Law Review,<br />225 Cedar Street,<br />San Diego, California 92101</p>",,-1.0,20.0,,US,false,,0008-1639,lawreview@cwsl.edu,https://scholarlycommons.law.cwsl.edu/cwlr/,California Western Law Review,(619) 525-1477; Fax: (619) 615-1477,lawreview@cwsl.edu,<p>Accepts electronic submissions via ExpressO and e-mail.</p>,https://www.cwsl.edu/academics/academic-publications/law-reviews-and-journals/article-submissions,G,,E
190,"<p>Campbell Law Review <br />Norman Adrian Wiggins School of Law <br />225 Hillsborough Street, Suite 202<br />Raleigh, NC 27603</p>",,0.25,30.0,,US,false,,0198-8174,culawreview@email.campbell.edu,https://scholarship.law.campbell.edu/clr/,Campbell Law Review,919-865-5860,culawreview@email.campbell.edu,<p>The Campbell Law Review is happy to accept submissions at its e-mail address. Please include a cover letter and a CV.</p>,http://law.campbell.edu/lawreview/submissions.cfm,G,,E
191,"<p>Oklahoma City University School of Law<br />Law Review<br />2501 N. Blackwelder<br />Oklahoma City, OK 73106</p>",,-1.0,30.0,,US,false,,0364-9458,okclrev@okcu.edu,https://law.okcu.edu/academics/experiential-learning/law-review/#issues,Oklahoma City University Law Review,,okclrev@okcu.edu,<p>Accepts e-mail submissions.</p>,http://law.okcu.edu/index.php/student-services/student-life/oculawreview/subscriptionandsubmission/,G,,E
192,"<p>Thurgood Marshall Law Review<br />3100 Cleburne Street<br />Houston, Texas 77004</p>",,-1.0,30.0,,US,false,,0749-1646,,http://www.tsulaw.edu/law_review/,Thurgood Marshall Law Review,713-313-7246,tmlawreview@gmail.com,<p>Accepts electronic submissions via e-mail or ExpressO.</p>,http://tmlawreview.org/submissions/,G,,E
193,,,0.06,526.0,,US,false,,0002-7766,abljsubmission@alsb.org,https://onlinelibrary.wiley.com/journal/17441714,American Business Law Journal,,abljsubmission@alsb.org,"<p>The ABLJ is a refereed journal. Although articles simultaneously submitted to other journals are accepted, and requests for expedites will be considered, authors should plan to provide our faculty reviewers with enough time to complete a review. If an expedite period is too brief, the ABLJ may be unable to return a decision. Electronic submissions between 15,000 &ndash; 18,000 words (including footnotes) are preferred (manuscripts in excess of 25,000 words will not be reviewed). Published by Wiley/Blackwell Publishing.</p>",,S,,E
194,"<p>American Indian Law Review<br />University of Oklahoma<br />Andrew M. Coats Hall<br />300 Timberdell Road<br />Norman, OK 73019</p>",,0.14,30.0,,US,false,,0094-002X,ailr@ou.edu,http://www.law.ou.edu/faculty-and-scholarship/journals/american-indian-law-review,American Indian Law Review,(405) 325-2840,mwaters@ou.edu,<p>Requires either paper or electronic submission (electronic is encouraged). When submitting an article indicate if the article has been submitted to more than one publication. AILR is a refereed journal.</p>,http://adams.law.ou.edu/ailr/submit.cfm,S,,E
195,"<p>Chief Articles Editor,<br />American Journal of Criminal Law,<br />727 E. Dean Keeton Ave,<br />Austin, TX 78705</p>",,0.2,30.0,,US,false,,0092-2315,,https://law.utexas.edu/publications/journals/american-journal-of-criminal-law/,American Journal of Criminal Law,,,<p>Requires e-mail submissions. Submissions must be in Microsoft Word format.</p>,https://ajclonline.org/?page_id=17,S,,E
196,,,-1.0,45.0,,US,false,,0002-9319,AJLH.EditorialOffice@oup.com,https://academic-oup-com.ezproxy.wlu.edu/ajlh,American Journal of Legal History,215 204 8867; Fax: 215 204 1785,AJLH.EditorialOffice@oup.com,<p>Electronic submissions required via Scholar One manuscripts.</p>,https://academic-oup-com.ezproxy.wlu.edu/ajlh/pages/General_Instructions,S,,
197,"<p>Executive Editor<br />Antitrust Law Journal<br />Tina Miller<br />81 Seventy Acre Road<br />West Redding, CT 06896</p>",,0.24,75.0,,US,false,,0003-6056,antitrust@att.net,https://www.americanbar.org/groups/antitrust_law/publications/antitrust_law_journal/,Antitrust Law Journal,203/938-8507; Fax 203/938-2845,antitrust@att.net,"<p>Electronic submission preferred. A refereed, peer-edited journal. No student-authored submissions.</p>",https://www.americanbar.org/groups/antitrust_law/publications/antitrust_law_journal/submission_guidelines/,S,,E
198,"<p>Steven A. Meyerowitz,<br />Editor-in-Chief<br />Meyerowitz Communications Inc.<br />10 Crinkle Court<br />Northport, NY 11768</p>",,-1.0,399.0,,US,true,,0005-5506,,https://store.lexisnexis.com/products/the-banking-law-journal-skuusSku-us-819,Banking Law Journal,,smeyerow@optonline.net,<p>Accepts e-mail submissions. Exclusive submission is required. A peer edited journal.<br />Published by A.S. Pratt &amp; Sons.</p>,,S,,E
199,"<p>Senior Articles Editor<br />BERKELEY JOURNAL OF EMPLOYMENT &amp; LABOR LAW<br />Room 387 Simon<br />Boalt Hall School of Law<br />University of California<br />Berkeley, CA 94720</p>",,0.37,47.0,,US,false,,1067-7666,bjell@law.berkeley.edu,https://www.law.berkeley.edu/library/ir/bjell/,Berkeley Journal of Employment and Labor Law,,bjell.submissions@law.berkeley.edu,"<p>Accepts electronic submissions via e-mail submissions or <a href=""http://law.bepress.com/expresso/"">ExpressO</a></p>",http://scholarship.law.berkeley.edu/bjell/submissions.html,S,,E
200,"<p>Berkeley Journal of Gender, Law &amp; Justice<br />Attn: Submissions Editors<br />491 Simon Hall<br />Boalt Hall School of Law<br />University of California<br />Berkeley, CA 94720</p>",Berkeley Women's Law Journal ( - v19 (2004)),-1.0,55.0,,US,false,,0882-4312,,https://www.law.berkeley.edu/library/ir/bglj/,"Berkeley Journal of Gender, Law & Justice",,bglj.submissions@gmail.com,<p>Electronic submissions are preferred.</p>,http://genderlawjustice.berkeley.edu/submissions/,S,,E
